DATED,ACCC_NO,CLASS_NO,BOOK_NO,AUTHOR_1,AUTHOR_2,TITLE,PUBLISHER_NAME,PLACE,COLLN_TYPE,TYPE_OF_MATERIAL,YEAR,EDITION,PG_COUNT,ILLUST,BK_SIZE,ISBN,LANGUAGE,SCRIPT_USED,TRANSLATED,SUBJECT_HEAD,PHY_MED,PRICE,TYPE_OF_BINDING,DOC_NO,SERIES_NAME,ISSN_NO,VOL_NO,PEGINATION,TITLE_VOLUME,ENTRY_ELEMENT,OTHER_NAME,ADDRESS,COUNTRY,BIBLIO_GRAPHY,MEETING_NAME,COUNTTRY_MEETING,PLACE_MEETING,DATE_MEETING,NUMBER_MEETING,KEY,ISSUE,CUR,FCUR,REMARKS,WRITTENOFF,NOOFCOPIES,EDITOR,BK_INFO,ISSUED,COND_BOOK,AVAILABILITY,NEW_CLASS_NO,ORDER_NO,WITH_MEDIA,REFERENCE,BK_BINDING,EDITOR_TYPE,DISC_PR,ACTUAL_PR,SNO,ACCREGDATE,ALMIRAH_NO,SHELF_NO,ISS,ACCCC_NO,HINDI
2019-06-01,6,0,0,SWAMI ADGADANAND,SHRI MADBHAGWATGEETA- YATHARTHAGEETA-SWAMI ADGADANAND,SHRI MADBHAGWATGEETA- YATHARTHAGEETA,SHRI PARAMHANS SWAMI ADGADANAND SHRI ASHRAM TRUST,,,,1994,,388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2019-06-01,10,0,0,SWAMI ADGADANAND,JEEVANADARSH EVAM AATMANUBHOOTI-SWAMI ADGADANAND,JEEVANADARSH EVAM AATMANUBHOOTI,SHRI PARAMHANS SWAMI ADGADANAND SHRI ASHRAM TRUST,,,,2010,,512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2019-06-01,15,0,0,"MISHRA,S.K.","BHARTIYA SANSKRITI KA VISHVA SAMRAJYA-MISHRA,S.K.",BHARTIYA SANSKRITI KA VISHVA SAMRAJYA,"PUSTAK PATH,DELHI",,,,2011,,127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2019-06-01,16,0,0,BHARTIYA ITIHAAS ANUSANDHAN PARISHAD,HINDU DHARAM KYA HAI? MAHATMA GANDHI-BHARTIYA ITIHAAS ANUSANDHAN PARISHAD,HINDU DHARAM KYA HAI? MAHATMA GANDHI,NATIONAL BOOK TRUST,,,,1993,,113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2019-06-01,22,0,0,"SWAMI,PRABHUPAAD","SHIR MADBHAGWAT GEETA-YATHAROOP-SWAMI,PRABHUPAAD",SHIR MADBHAGWAT GEETA-YATHAROOP,"MUKTI VEDANT BOOK TRUST,MUMBAI",,,,1990,,576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2019-06-01,28,0,0,"GEETA PRESS,GORAKHPUR","SHRI MADBHAGWATGEETA-GEETA PRESS,GORAKHPUR",SHRI MADBHAGWATGEETA,"GEETA PRESS,GORAKHPUR",,,,,,421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2019-06-01,30,0,0,SOOCHNA EVAM PRASARAN MANTRALAYA,GYAN SAROWAR BHAG-3-SOOCHNA EVAM PRASARAN MANTRALAYA,GYAN SAROWAR BHAG-3,"SOOCHNA EVAM PRASARAN MANTRALAYA,NEW DELHI",,,,1981,,352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2019-06-01,32,0,0,GEHARI RAM,SHRI RADHA KA NYAY-GEHARI RAM,SHRI RADHA KA NYAY,"AKHANDANAND SARASWATI SEWA SANSTHAN,VARANASI",,,,2010,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2019-06-01,35,0,0,"JAIN,MADHU ED.","BAUDH SANSPARSH-JAIN,MADHU ED.",BAUDH SANSPARSH,"SADHU RAMSWAROOP MAHILA VISHWVIDYALAAY,BAREILY",,,,2009,,256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2019-06-01,39,0,0,KIRAN VARIYA,CHANAKYA NEETI EVAM SOOTRA SANGRAH-KIRAN VARIYA,CHANAKYA NEETI EVAM SOOTRA SANGRAH,"LAXMI PRAKASHAN,DELHI",,,,,,208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2019-06-01,43,0,0,SHRI RAM SHARMA,SUNSAAN KE SAHCHAR-SHRI RAM SHARMA,SUNSAAN KE SAHCHAR,"YUG NIRMAN YOJNA,MATHURA",,,,,,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2019-06-01,46,0,0,GAYA PRASAD,AMRIT VACHAN-GAYA PRASAD,AMRIT VACHAN,"GIRIRAJ BABA TRUST,MATHURA",,,,2000,,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2019-06-01,47,0,0,YOG ANUSANDHAN SANSTHAN,YOGAMRATAM-YOG ANUSANDHAN SANSTHAN,YOGAMRATAM,"YOG ANUSANDHAN SANSTHAN,LUCKNOW",,,,,,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2019-06-01,57,0,0,"JOSHI,DINKAR","SHYAM- PHIR EK BAAR TUM MIL JAATE-JOSHI,DINKAR",SHYAM- PHIR EK BAAR TUM MIL JAATE,"VIDYA VIHAR,DELHI",,,,2013,,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2019-06-01,64,0,0,"SATVALEKAR,SHRIPAD DAMODAR","SHRI MADBHAGWAT GEETA-SATVALEKAR,SHRIPAD DAMODAR",SHRI MADBHAGWAT GEETA,"BASANT SHRIPAD SATVALEKAR,BALSAD",,,,1983,,912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2019-06-01,66,0,0,"GEETA PRESS,GORAKHPUR","SHRI MADBHAGWAT PURAN -PRATHAM KHAND-GEETA PRESS,GORAKHPUR",SHRI MADBHAGWAT PURAN -PRATHAM KHAND,"GEETA PRESS,GORAKHPUR",,,,,,865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2019-06-01,71,0,0,BIBLE SOCIETY OF INDIA,PAVITRA BIBLE-BIBLE SOCIETY OF INDIA,PAVITRA BIBLE,"BIBLE SOCIETY OF INDIA,BANGLORE",,,,1999,,390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2019-06-01,77,0,0,AYODHYA SHODH SANSTHAN,RAGHUNATH GAATHA KHAND II-AYODHYA SHODH SANSTHAN,RAGHUNATH GAATHA KHAND II,"AYODHYA SHODH SANSTHAN,AYODHYA",,,,1911,,224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2019-06-01,83,0,0,TULSIDAS,VINAY PATRIKA-TULSIDAS,VINAY PATRIKA,"GEETA PRESS,GORAKHPUR",,,,,,478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2019-06-01,85,0,0,"GUPTA,DAUDAYAL","SHIR HANUMACHCHARIT MANAS-GUPTA,DAUDAYAL",SHIR HANUMACHCHARIT MANAS,"MANAS SANSTHAN,MATHURA",,,,1992,,344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
