id,field,old,new,confidence
1,title,Shri Madbhagwatgeeta- Yatharthageeta,Shrimad Bhagavad Gita: Yatharth Geeta,high
1,publisher,Shri Paramhans Swami Adgadanand Shri Ashram Trust,Shri Paramhans Swami Adgadanand Ji Ashram Trust,high
2,title,Jeevanadarsh Evam Aatmanubhooti,Jeevanadarsh Evam Atmanubhuti,medium
2,publisher,Shri Paramhans Swami Adgadanand Shri Ashram Trust,Shri Paramhans Swami Adgadanand Ji Ashram Trust,medium
3,title,Bhartiya Sanskriti Ka Vishva Samrajya,Bharatiya Sanskriti Ka Vishwa Samrajya,medium
3,author,"Mishra, s.k.",S. K. Mishra,medium
4,title,Hindu Dharam Kya Hai? Mahatma Gandhi,Hindu Dharm Kya Hai?,high
4,author,Bhartiya Itihaas Anusandhan Parishad,Mahatma Gandhi,high
5,title,Shir Madbhagwat Geeta-yatharoop,Shrimad Bhagavad Gita Yatharoop,high
5,author,"Swami, prabhupaad",A. C. Bhaktivedanta Swami Prabhupada,high
5,publisher,Mukti Vedant Book Trust,Bhaktivedanta Book Trust,high
6,title,Shri Madbhagwatgeeta,Shrimad Bhagavad Gita,high
6,author,"Geeta Press, gorakhpur","Gita Press, Gorakhpur",high
6,publisher,Geeta Press,Gita Press,high
7,title,Gyan Sarowar Bhag-3,Gyan Sarovar Bhag 3,medium
9,author,"Jain, madhu ED.",Madhu Jain,medium
9,publisher,"Sadhu Ramswaroop Mahila Vishwvidyalaay, bareily","Sahu Ramswaroop Mahila Vidyalaya, Bareilly",medium
10,title,Chanakya Neeti Evam Sootra Sangrah,Chanakya Neeti Evam Sutra Sangrah,medium
11,title,Sunsaan Ke Sahchar,Sunsan Ke Sahchar,high
11,author,Shri Ram Sharma,Shriram Sharma Acharya,high
14,title,Shyam- Phir Ek Baar Tum Mil Jaate,"Shyam, Phir Ek Baar Tum Mil Jaate",high
14,author,"Joshi, dinkar",Dinkar Joshi,high
15,title,Shri Madbhagwat Geeta,Shrimad Bhagavad Gita,high
15,author,"Satvalekar, shripad Damodar",Shripad Damodar Satwalekar,high
15,publisher,"Basant Shripad Satvalekar, balsad","Vasant Shripad Satwalekar, Valsad",high
16,title,Shri Madbhagwat Puran -pratham Khand,"Shrimad Bhagavat Puran, Pratham Khand",high
16,author,"Geeta Press, gorakhpur","Gita Press, Gorakhpur",high
16,publisher,Geeta Press,Gita Press,high
17,author,Bible Society Of India,Bible Society of India,high
17,publisher,"Bible Society Of India, banglore","Bible Society of India, Bangalore",high
18,title,Raghunath Gaatha Khand II,Raghunath Gatha Khand II,medium
18,publisher,"Ayodhya Shodh Sansthan, ayodhya","Ayodhya Shodh Sansthan, Ayodhya",medium
19,publisher,Geeta Press,Gita Press,high
20,title,Shir Hanumachcharit Manas,Shri Hanumachcharit Manas,medium
20,author,"Gupta, daudayal",Daudayal Gupta,medium
21,author,"Sharma, shri Ram",Shriram Sharma Acharya,high
21,publisher,"Sanskriti Sansthan, bareily","Sanskriti Sansthan, Bareilly",high
22,title,Shri Harigeeta,Shri Harigita,medium
22,author,"Bhargava, deenanath",Dinanath Bhargava,medium
23,title,Rigveda IV,Rigveda Vol. 4,high
23,author,"Sharma, shri Ram",Shriram Sharma Acharya,high
23,publisher,"Sanskriti Sansthan, bareily","Sanskriti Sansthan, Bareilly",high
24,title,108 Upnishad (sadhna Khand),108 Upanishad (Sadhana Khand),high
24,author,"Sharma, shri Ram",Shriram Sharma Acharya,high
24,publisher,"Sanskriti Sansthan, bareily","Sanskriti Sansthan, Bareilly",high
26,title,Bhagwatgeeta,Bhagavad Gita,medium
26,author,Rajgopalacharya,C. Rajagopalachari,medium
27,title,Sarv Bhaum Adhaymik Vigyan,Sarvabhaum Adhyatmik Vigyan,medium
27,publisher,"Swami Parmanand Yogsadhnashram, merrut","Swami Parmanand Yogsadhnashram, Meerut",medium
28,title,Bhent-swami Shivanand Saraswati Evam Swami Satyanand Saraswati,Bhent: Swami Shivanand Saraswati Evam Swami Satyanand Saraswati,medium
28,publisher,"Shivanand Math, munger","Shivanand Math, Munger",medium
29,title,Vindhachal Mahatmya,Vindhyachal Mahatmya,medium
29,author,"Mishra, shivdutt",Shivdutt Mishra,medium
30,title,"Arya Sanatan Aur Hindu Dharm, Dharm Parivartan Hota Hi Nahi",Arya Sanatan Aur Hindu Dharm: Dharm Parivartan Hota Hi Nahin,medium
30,author,Adgadanand Ji,Swami Adgadanand,medium
31,title,Jahn Jahn Ram Charan Chaki Jahi,Jahan Jahan Ram Charan Chali Jahin,medium
31,author,Shri Ram Sanskriti Sodh Sansthan,Shri Ram Sanskriti Shodh Sansthan,medium
32,author,"Joshi, yogendra",Yogendra Joshi,medium
32,publisher,Yogendra Doshi Joonagarh,"Yogendra Doshi, Junagadh",medium
33,author,Akhandanand Saraswati,Swami Akhandanand Saraswati,medium
34,title,Hinduon Me Isamaseeh Ke Prati Aastha Lekin Girija Dharmmat Ke Prati Anashtha: Aisa Kyon,Hinduon Mein Isamasih Ke Prati Aastha Lekin Girija Dharmmat Ke Prati Anaastha: Aisa Kyon,medium
34,author,Swami Abhedanand,Swami Abhedananda,medium
34,publisher,Shri Ramkrishan Vedant Math,Shri Ramkrishna Vedanta Math,medium
35,title,Dharm Shikhsa,Dharm Shiksha,medium
35,author,Jagdeeshwanand Saraswati,Swami Jagdishwaranand Saraswati,medium
36,author,Omanand Saraswati,Swami Omanand Saraswati,medium
36,publisher,Arya Dharmarth Nyas Hindon,"Arya Dharmarth Nyas, Hindon",medium
37,title,Band Gali Ka Aakhri Makaan,Band Gali Ka Aakhiri Makaan,high
37,author,Dharamveer Bharti,Dharamvir Bharati,high
37,publisher,Bhartiay Gyanpeeth,Bharatiya Jnanpith,high
38,author,Premchandra,Premchand,high
39,author,"Nagar, amrit Lal",Amritlal Nagar,high
39,publisher,Rajpal And Sons,Rajpal and Sons,high
40,author,"Nagar, amrit Lal",Amritlal Nagar,high
40,publisher,Bhartiya Gyanpeeth,Bharatiya Jnanpith,high
41,author,"Chatopadhyay, sharat Chandra",Sharatchandra Chattopadhyay,high
41,language,English,Hindi,high
43,author,"Kohli, narendra",Narendra Kohli,high
44,author,"Renu, phadishwarnath",Phanishwar Nath Renu,high
45,publisher,Bhartiya Gyanpeeth,Bharatiya Jnanpith,high
46,title,Charu Chandra Lekh,Charu Chandralekh,high
46,author,"Dwivedi, hajari Prasad",Hazari Prasad Dwivedi,high
47,author,"Rai, viveki",Viveki Rai,medium
48,language,English,Hindi,medium
49,author,Abid Surti,Aabid Surti,medium
51,title,Anand Math,Anandmath,high
51,author,"Bankim Chandra, chatterjee",Bankim Chandra Chattopadhyay,high
53,title,Kohvar Ki Shart,Kohbar Ki Shart,high
53,author,"Mishra, keshav Prasad",Keshav Prasad Mishra,high
54,title,Sharatchandra Ki Anmol Kahaniya,Sharatchandra Ki Anmol Kahaniyan,medium
54,author,"Agarwal, balram",Balram Agarwal,medium
55,title,Terah Anupam Kahaniya,Terah Anupam Kahaniyan,medium
56,title,Mewad Ki Kathayein Bhag-4,Mewar Ki Kathayen Bhag 4,medium
56,author,"Mishra, pratap Narayan",Pratap Narayan Mishra,medium
57,title,Sanskritik Kahaniyan Bhag-5,Sanskritik Kahaniyan Bhag 5,medium
60,author,Khuswant Singh,Khushwant Singh,high
61,title,Draupdi,Draupadi,high
61,author,"Rai, pratima",Pratibha Ray,high
61,publisher,Rajpal And Sons,Rajpal and Sons,high
62,title,Mansarovar -7,Mansarovar Vol. 7,high
62,author,Premchandra,Premchand,high
63,title,Mansarover-2,Mansarovar Vol. 2,high
63,author,Premchandra,Premchand,high
64,title,Mansarover-5,Mansarovar Vol. 5,high
64,author,Premchandra,Premchand,high
65,title,Shiksha Jagat Ki Kahaniya,Shiksha Jagat Ki Kahaniyan,medium
65,author,Giriraj Sharan Sampadan,Giriraj Sharan Agrawal,medium
66,title,Meri Priy Kahaniya,Meri Priya Kahaniyan,high
66,author,"Mohan, rakesh",Mohan Rakesh,high
67,title,Meri Priy Kahaniya,Meri Priya Kahaniyan,high
67,author,Chatur Sen,Acharya Chatursen,high
67,publisher,Rajpal And Sons,Rajpal and Sons,high
68,title,Aakash Deep,Akashdeep,high
68,author,Jai Shanker Prasad,Jaishankar Prasad,high
68,publisher,Bharitya Granth Niketan,Bharatiya Granth Niketan,high
69,title,Pratinidhi Kahaniyaan,Pratinidhi Kahaniyan,high
69,author,"Singh, kanshinath",Kashinath Singh,high
70,title,Kashi Ki Assi,Kashi Ka Assi,high
70,author,"Singh, kanshinath",Kashinath Singh,high
71,author,"Vidhya Lankaar, satyakaam",Satyakam Vidyalankar,medium
71,publisher,Shiksha Bharti Delhi,"Shiksha Bharti, Delhi",medium
73,title,Chandragupt Vikramadtya,Chandragupta Vikramaditya,medium
73,author,"Nagayach, prakash",Prakash Nagayach,medium
73,publisher,Interuniversity Press Delhi,"Interuniversity Press, Delhi",medium
74,title,Anupam Hindi Vyakaran Tatha Rachna Bhaag-2,Anupam Hindi Vyakaran Tatha Rachna Bhag 2,medium
74,author,"Kapoor, shyamchandra",Shyamchandra Kapoor,medium
74,publisher,Pitamber Publishing Delhi,"Pitambar Publishing, Delhi",medium
76,author,"Dixit, rajesh",Rajesh Dixit,medium
76,publisher,Bhasha Bhawan Mathura,"Bhasha Bhawan, Mathura",medium
77,author,"Dixit, rajesh",Rajesh Dixit,medium
77,publisher,Rashtriya Prakashan Mandir Bhopal,"Rashtriya Prakashan Mandir, Bhopal",medium
78,title,Baal Bagiya Mashik Patrika May 2001,"Baal Bagiya Masik Patrika, May 2001",medium
78,author,Khare Sandeep Sampadak,Sandeep Khare,medium
79,author,Geeta Press,Gita Press,medium
79,publisher,Geeta Press Gorakhpur,"Gita Press, Gorakhpur",medium
80,title,Asht Vinayak,Ashtavinayak,medium
80,author,Geeta Press,Gita Press,medium
80,publisher,Geeta Press Gorakhpur,"Gita Press, Gorakhpur",medium
81,title,Mewaad Ki Kathae,Mewar Ki Kathayen,medium
81,author,Mishra Pratapnarayan,Pratap Narayan Mishra,medium
81,publisher,Lokhit Prakashan Lucknow,"Lokhit Prakashan, Lucknow",medium
82,title,Galib Ki Aapbiti,Ghalib Ki Aapbeeti,medium
82,author,"Farooqui, nisar Ahmad(sampadak)",Nisar Ahmad Farooqi,medium
82,publisher,Galib Institute Delhi,"Ghalib Institute, Delhi",medium
84,title,Swarn Dhuli,Swarnadhuli,high
84,publisher,Ramrajya Prakashan Lucknow,"Ramrajya Prakashan, Lucknow",high
86,title,Jaishanker Prasad Pratinidhi Kavitae,Jaishankar Prasad: Pratinidhi Kavitayen,high
86,author,Rajkamal Prakashan,Jaishankar Prasad,high
86,publisher,Rajkamal Prakashan Delhi,"Rajkamal Prakashan, Delhi",high
88,title,Chitambara,Chidambara,high
88,publisher,Rajkamal Prakashan Delhi,"Rajkamal Prakashan, Delhi",high
89,title,Ravindranath Ka Baal Sahitya Bhaag-1,Ravindranath Ka Baal Sahitya Bhag 1,medium
89,author,"Mazoomdar, leela (sampadak)",Leela Majumdar,medium
89,publisher,Sahitya Academy Delhi,"Sahitya Akademi, Delhi",medium
90,author,"Gupt, mathilisharan",Maithilisharan Gupt,high
90,publisher,Sangeet Sadan Jhanshi,"Sahitya Sadan, Chirgaon (Jhansi)",high
92,author,Jaishanker Prasad,Jaishankar Prasad,high
92,publisher,Prasad Prakashan Varanasi,"Prasad Prakashan, Varanasi",high
93,author,"Maachve, prabhakar (sampadak)",Prabhakar Machwe,medium
93,publisher,Allied Publishers Mumbai,"Allied Publishers, Mumbai",medium
94,author,"Dinkar, ramdhari Singh",Ramdhari Singh Dinkar,high
94,publisher,Rajpal And Sons Delhi,"Rajpal and Sons, Delhi",high
96,author,Chamanlal (sampadak),Chaman Lal,medium
96,publisher,Prakashan Vibhag Bharat Sarkar Delhi,"Prakashan Vibhag, Bharat Sarkar, Delhi",medium
97,author,"Dwevedi , shantnu Vihari",Shantanu Bihari Dwivedi,medium
97,publisher,Geeta Press Gorakhpur,"Gita Press, Gorakhpur",medium
98,title,Thele Per Himalaya,Thele Par Himalaya,high
98,author,"Bharti, dharmveer",Dharamvir Bharati,high
98,publisher,Bhartiye Gyan Peeth Delhi,"Bharatiya Jnanpith, Delhi",high
99,title,Smriti Ki Rekhae-mahadevi Verma,Smriti Ki Rekhayen,high
